#LAMBDA    g      r        i      z        Y     atm
5575.0 0.00065 0.01612 0.00000 0.00000 0.00000 0.83928
5580.0 0.00055 0.01705 0.00000 0.00000 0.00000 0.83933
5585.0 0.00051 0.01854 0.00000 0.00000 0.00000 0.83929
5590.0 0.00048 0.02004 0.00000 0.00000 0.00000 0.83934
5595.0 0.00044 0.02154 0.00000 0.00000 0.00000 0.83931
5600.0 0.00041 0.02303 0.00000 0.00000 0.00000 0.83927
5605.0 0.00039 0.02669 0.00000 0.00000 0.00000 0.83906
5610.0 0.00037 0.03035 0.00000 0.00000 0.00000 0.83902
5615.0 0.00035 0.03402 0.00000 0.00000 0.00000 0.83898
5620.0 0.00032 0.03768 0.00000 0.00000 0.00000 0.83895
5625.0 0.00031 0.05119 0.00000 0.00000 0.00000 0.83873
5630.0 0.00030 0.06472 0.00000 0.00000 0.00000 0.83878
5635.0 0.00028 0.07822 0.00000 0.00000 0.00000 0.83866
5640.0 0.00027 0.09173 0.00000 0.00000 0.00000 0.83854
5645.0 0.00013 0.13556 0.00000 0.00000 0.00000 0.83858
5650.0 0.00000 0.17941 0.00000 0.00000 0.00000 0.83872
5655.0 0.00000 0.22328 0.00000 0.00000 0.00000 0.83884
5660.0 0.00000 0.26716 0.00000 0.00000 0.00000 0.83898
5665.0 0.00000 0.33516 0.00000 0.00000 0.00000 0.83911
5670.0 0.00000 0.40315 0.00000 0.00000 0.00000 0.83915
5675.0 0.00000 0.47100 0.00000 0.00000 0.00000 0.83895
5680.0 0.00000 0.53876 0.00000 0.00000 0.00000 0.83866
5685.0 0.00000 0.57048 0.00000 0.00000 0.00000 0.83829
5690.0 0.00000 0.60230 0.00000 0.00000 0.00000 0.83808
5695.0 0.00000 0.63428 0.00000 0.00000 0.00000 0.83813
5700.0 0.00000 0.66641 0.00000 0.00000 0.00000 0.83834
5705.0 0.00000 0.67155 0.00000 0.00000 0.00000 0.83872
5710.0 0.00000 0.67676 0.00000 0.00000 0.00000 0.83919
5715.0 0.00000 0.68156 0.00000 0.00000 0.00000 0.83915
5720.0 0.00000 0.68624 0.00000 0.00000 0.00000 0.83895
5725.0 0.00000 0.68801 0.00000 0.00000 0.00000 0.83916
5730.0 0.00000 0.68986 0.00000 0.00000 0.00000 0.83946
5735.0 0.00000 0.69177 0.00000 0.00000 0.00000 0.83985
5740.0 0.00000 0.69362 0.00000 0.00000 0.00000 0.84015
5745.0 0.00000 0.69538 0.00000 0.00000 0.00000 0.84028
5750.0 0.00000 0.69735 0.00000 0.00000 0.00000 0.84067
5755.0 0.00000 0.69947 0.00000 0.00000 0.00000 0.84123
5760.0 0.00000 0.70152 0.00000 0.00000 0.00000 0.84171
5765.0 0.00000 0.70310 0.00000 0.00000 0.00000 0.84210
5770.0 0.00000 0.70461 0.00000 0.00000 0.00000 0.84241
5775.0 0.00000 0.70620 0.00000 0.00000 0.00000 0.84280
5780.0 0.00000 0.70793 0.00000 0.00000 0.00000 0.84336
